"Agency","Federal Data","Non-Federal Data","Agency Risk Assessment","Information Underlying Final Rule","Information Underlying Proposed Rule","Web Content/Fact Sheet","Print Materials","Policy","Other"
"Federal Reserve",0,0,0,0,0,2,0,0,0
"GSA",0,0,0,0,0,0,0,0,0
"EPA",0,0,3,1,0,0,0,0,1
"DOC",0,0,0,0,0,0,0,0,0
"DHS",0,0,0,0,0,0,0,0,0
"USDA",0,0,0,0,0,0,0,0,0
"FTC",1,1,0,0,0,1,1,0,1
"NASA",0,0,0,0,0,0,0,0,0
"Education",0,0,0,0,0,0,0,0,0
"Treasury",0,0,0,0,0,0,0,0,0
"DOE",0,0,0,0,0,1,0,0,0
"HHS",0,0,0,0,0,2,0,0,0
"DOI",0,0,0,0,0,0,0,0,0
